Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,TwoP,TwoPA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,eFGPercent,FTPercent,TSPercent,WS,G,GS,MP,PER,ThreePAr,FTr,ORBPercent,DRBPercent,TRBPercent,ASTPercent,STLPercent,BLKPercent,TOVPercent,USGPercent,ORtg,DRtg,OWS,DWS,WS,WSperFortyEight,OBPM,DBPM,BPM,VORP
354,Henry Walker,2014-15,27,MIA,NBA,24,13,26.2,2.4,7,0.5,1.5,1.9,5.5,0.6,0.8,0.3,3.1,3.4,1.2,1,0.4,1,3.2,7.3,0.345,0.361,0.341,0.479,0.778,0.497,0.5,24,13,628,8,0.786,0.107,1.4,14,7.8,7.2,2,1.2,12,15,96,107,-0.1,0.6,0.5,0.039,-0.9,-0.1,-1,0.2
146,Patrick Beverley,2014-15,26,HOU,NBA,56,55,30.8,3.6,9.5,1.6,3.7,2.1,5.8,0.8,1.1,1.2,3,4.2,3.4,1.1,0.4,1.5,3.3,10.1,0.383,0.426,0.356,0.492,0.75,0.509,3.5,56,55,1727,11.3,0.607,0.113,4.3,10.8,7.6,17.2,1.7,1,12.9,16.1,107,106,1.7,1.8,3.5,0.096,0.5,0.3,0.8,1.2
125,Cody Zeller,2014-15,22,CHO,NBA,62,45,24,2.8,6,2.8,6,0,0,2,2.6,1.6,4.3,5.8,1.6,0.5,0.8,1,2.5,7.6,0.461,0.46,1,0.462,0.774,0.53,3.8,62,45,1487,14.1,0.003,0.44,7,20.1,13.4,10.9,1.2,2.6,12.2,15.6,108,102,1.6,2.2,3.8,0.123,-2.1,2.5,0.4,0.9
137,John Henson,2014-15,24,MIL,NBA,67,11,18.3,2.9,5.2,2.9,5.2,0,0,1.2,2,1.9,2.8,4.7,0.9,0.4,2,1.3,2.3,7,0.566,0.566,,0.566,0.569,0.578,3.6,67,11,1228,18,0,0.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,106,98,1.3,2.4,3.6,0.142,-1.9,4.6,2.7,1.5
225,Andre Roberson,2014-15,23,OKC,NBA,67,65,19.2,1.4,3,1.1,1.7,0.3,1.3,0.3,0.7,0.9,2.9,3.8,1,0.8,0.4,0.7,2.1,3.4,0.458,0.612,0.247,0.51,0.479,0.513,2.1,67,65,1286,9.1,0.423,0.239,5.1,16,10.6,7.4,2.1,1.8,17.2,9,104,104,0.5,1.6,2.1,0.079,-1.8,2.1,0.3,0.7
428,Seth Curry,2014-15,24,PHO,NBA,2,0,4,0,1.5,0,1,0,0.5,0,0,0,1,1,0.5,0,0,0,1,0,0,0,0,0,,0,0,2,0,8,-11.4,0.333,0,0,27.7,13.7,15.6,0,0,0,16.5,21,107,-0.1,0,0,-0.298,-14.3,-1.6,-15.9,0
319,Michael Carter-Williams,2014-15,23,TOT,NBA,66,63,32.6,5.5,13.9,5,11.6,0.5,2.3,3.1,4.4,1,4.4,5.3,6.7,1.7,0.5,3.8,2.5,14.6,0.396,0.428,0.235,0.416,0.694,0.461,0.8,66,63,2149,14.1,0.166,0.317,3.2,15.3,9,37.3,2.6,1.1,19.5,26.7,91,103,-2.1,2.9,0.8,0.017,-1.6,0.9,-0.7,0.7
87,Al Jefferson,2014-15,30,CHO,NBA,65,61,30.6,7.5,15.5,7.4,15.5,0,0.1,1.7,2.5,1.5,6.9,8.4,1.7,0.7,1.3,1,2.1,16.6,0.481,0.482,0.4,0.482,0.655,0.5,4.7,65,61,1992,19.7,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,101,100,1.3,3.4,4.7,0.113,-1.3,1.6,0.2,1.1
197,Dennis Schroder,2014-15,21,ATL,NBA,77,10,19.7,3.7,8.6,3,6.7,0.7,1.9,1.9,2.3,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10,0.427,0.449,0.351,0.466,0.827,0.516,2.5,77,10,1516,15.7,0.223,0.269,2.3,9.9,6.2,34.6,1.7,0.2,16.8,27,101,106,1.1,1.4,2.5,0.08,-0.4,-2.1,-2.4,-0.2
35,Kyle Lowry,2014-15,28,TOR,NBA,70,70,34.5,6.1,14.9,4.3,9.3,1.9,5.6,3.6,4.5,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3,17.8,0.412,0.457,0.338,0.476,0.808,0.527,7.1,70,70,2414,19.3,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,110,107,5.1,2,7.1,0.141,4.2,-0.6,3.6,3.4
90,Markieff Morris,2014-15,25,PHO,NBA,82,82,31.5,6.2,13.4,5.5,11.2,0.7,2.2,2.2,2.8,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3,15.3,0.465,0.494,0.318,0.491,0.763,0.523,4.6,82,82,2581,15.8,0.163,0.211,4.6,17,10.7,12.4,2,1.2,12.4,23.3,102,105,1.8,2.7,4.6,0.085,-0.7,0.5,-0.2,1.2
332,Sergey Karasev,2014-15,21,BRK,NBA,33,16,16.8,1.6,4.1,1.2,2.4,0.5,1.6,0.9,1.2,0.7,1.3,2,1.4,0.7,0,0.7,1.4,4.6,0.403,0.475,0.296,0.463,0.763,0.508,0.7,33,16,555,10.5,0.403,0.284,4.5,8.9,6.7,12.3,2.1,0.1,13.7,14.4,104,109,0.3,0.4,0.7,0.061,-0.7,-0.5,-1.2,0.1
465,Devyn Marble,2014-15,22,ORL,NBA,16,7,13,0.9,2.8,0.6,1.4,0.3,1.4,0.3,1,0.3,1.6,1.9,1.1,0.6,0.1,0.6,0.9,2.3,0.318,0.455,0.182,0.364,0.313,0.362,-0.1,16,7,208,5.9,0.5,0.364,2.7,14.4,8.4,11.5,2.2,0.8,15,13.1,79,107,-0.3,0.2,-0.1,-0.031,-4.7,0.2,-4.5,-0.1
391,Troy Daniels,2014-15,23,TOT,NBA,47,0,8.4,1.3,3.5,0.4,1,0.9,2.5,0.2,0.3,0.2,0.5,0.7,0.5,0.1,0,0.4,0.9,3.7,0.37,0.383,0.364,0.5,0.846,0.515,0.2,47,0,397,9.6,0.715,0.079,2.2,7.2,4.7,9.2,0.8,0.2,10.5,21.3,99,112,0.1,0.1,0.2,0.022,-0.3,-4.6,-4.9,-0.3
232,Donald Sloan,2014-15,27,IND,NBA,53,21,20.9,2.7,6.7,2,4.2,0.8,2.5,1.1,1.5,0.2,2.5,2.7,3.6,0.4,0,1.2,0.9,7.4,0.408,0.464,0.313,0.466,0.779,0.503,2,53,21,1107,13.1,0.369,0.217,1.2,13,7.1,27.5,1.1,0,14.3,18.6,104,106,0.9,1.1,2,0.085,-0.4,-1,-1.4,0.2
264,Pero Antic,2014-15,32,ATL,NBA,63,3,16.5,1.7,4.7,0.9,2,0.8,2.7,1.4,2,0.9,2.1,3,0.8,0.3,0.2,0.8,2.1,5.7,0.365,0.455,0.301,0.453,0.715,0.508,1.5,63,3,1037,9.5,0.584,0.416,6.6,14,10.4,6.9,0.9,1.1,12.3,17.6,102,106,0.5,1,1.5,0.07,-1.3,-1.4,-2.7,-0.2
71,Hassan Whiteside,2014-15,25,MIA,NBA,48,32,23.8,5.1,8.1,5.1,8.1,0,0,1.6,3.3,3,7,10,0.1,0.6,2.6,1.2,2.7,11.8,0.628,0.628,,0.628,0.5,0.619,5.3,48,32,1142,26.2,0,0.403,15.6,34.7,25.4,1,1.2,9.2,11.3,21.1,117,97,2.8,2.4,5.3,0.221,-1.6,0.7,-0.9,0.3
219,Alexey Shved,2014-15,26,TOT,NBA,42,9,18.3,3.2,8,2,4.7,1.1,3.3,2.9,3.6,0.5,1.8,2.4,2.5,0.7,0.1,1.1,1.1,10.3,0.397,0.439,0.338,0.467,0.807,0.541,2.2,42,9,767,19.5,0.415,0.448,3.3,11.7,7.3,25.7,2,0.6,10.7,26.3,111,109,1.7,0.5,2.2,0.135,3,-2.6,0.5,0.5
309,T.J. Warren,2014-15,21,PHO,NBA,40,1,15.4,2.8,5.4,2.7,4.8,0.1,0.5,0.4,0.5,1,1.1,2.1,0.6,0.5,0.2,0.7,1.3,6.1,0.528,0.56,0.238,0.54,0.737,0.551,1.1,40,1,614,14,0.098,0.089,7.3,7.9,7.6,6.6,1.5,1.1,10.8,17.8,108,109,0.7,0.4,1.1,0.085,-1,-1.1,-2.1,0
49,Lou Williams,2014-15,28,TOR,NBA,80,0,25.2,4.7,11.6,2.8,6,1.9,5.6,4.3,4.9,0.3,1.6,1.9,2.1,1.1,0.1,1.3,1.3,15.5,0.404,0.464,0.34,0.486,0.861,0.564,6.6,80,0,2016,19.9,0.482,0.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27,114,109,5.4,1.1,6.6,0.157,4,-3.1,0.9,1.5
159,Kosta Koufos,2014-15,25,MEM,NBA,81,3,16.6,2.2,4.4,2.2,4.4,0,0,0.7,1,1.5,3.8,5.3,0.5,0.4,0.8,0.9,1.8,5.2,0.508,0.508,,0.508,0.647,0.53,3.3,81,3,1348,14.2,0,0.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,103,99,0.8,2.5,3.3,0.118,-3.4,1.9,-1.5,0.2
318,John Jenkins,2014-15,23,ATL,NBA,24,3,12.4,2,4.1,1.2,2,0.9,2.2,0.7,0.8,0.1,1.5,1.6,0.5,0.4,0,0.3,0.6,5.6,0.495,0.596,0.404,0.601,0.842,0.629,0.9,24,3,297,15.9,0.525,0.192,0.8,13.8,7.5,7,1.7,0,6.9,17.8,118,105,0.6,0.3,0.9,0.147,1.1,-2.1,-0.9,0.1
180,O.J. Mayo,2014-15,27,MIL,NBA,71,15,23.9,4.2,9.9,2.8,6,1.4,3.9,1.6,2,0.4,2.2,2.6,2.8,0.8,0.3,1.8,2.3,11.4,0.422,0.465,0.357,0.493,0.827,0.529,2.8,71,15,1697,13.5,0.395,0.198,2,10.5,6.3,19.4,1.7,0.9,14.4,23.6,101,105,0.9,1.9,2.8,0.079,0,-1.3,-1.3,0.3
214,Nick Collison,2014-15,34,OKC,NBA,66,2,16.7,1.6,3.8,1.4,2.9,0.2,0.9,0.7,1,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1,0.419,0.466,0.267,0.451,0.692,0.485,2.2,66,2,1101,11.2,0.237,0.257,8.9,15.3,12.2,11.6,1.6,1.8,13.8,12.8,108,105,1,1.2,2.2,0.097,-1.1,1.2,0.1,0.6
360,JaVale McGee,2014-15,27,TOT,NBA,23,0,11.1,1.8,3.4,1.8,3.4,0,0,1,1.4,0.8,1.9,2.7,0.1,0.1,0.9,0.8,1.3,4.6,0.532,0.532,,0.532,0.667,0.567,0.4,23,0,256,14.4,0,0.418,7.3,18.9,12.9,2,0.4,6.1,16.1,18.9,101,106,0.1,0.3,0.4,0.071,-5.3,-0.3,-5.6,-0.2
327,Phil Pressey,2014-15,23,BOS,NBA,50,0,12,1.3,3.5,1,2.2,0.3,1.3,0.7,1,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,3.5,0.368,0.44,0.246,0.414,0.673,0.453,0.8,50,0,600,11.8,0.374,0.282,2.3,12.4,7.3,28,2.5,0.8,17.3,17.3,97,104,0,0.7,0.8,0.06,-2.3,0,-2.2,0
131,Chris Bosh,2014-15,30,MIA,NBA,44,44,35.4,7.8,16.9,6.4,13.1,1.4,3.8,4.1,5.3,1,6,7,2.2,0.9,0.6,2.2,1.6,21.1,0.46,0.485,0.375,0.503,0.772,0.548,3.6,44,44,1556,19.8,0.226,0.311,3.6,20,12,12,1.4,1.4,10.1,28.4,106,106,2.1,1.5,3.6,0.111,1,-1,-0.1,0.8
335,Jordan Farmar,2014-15,28,LAC,NBA,36,0,14.7,1.7,4.4,0.7,1.7,1,2.7,0.3,0.3,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6,0.386,0.426,0.361,0.497,0.909,0.513,0.6,36,0,529,9.9,0.614,0.07,1.7,7.1,4.5,18,1.9,0.8,16.4,16.6,101,108,0.2,0.4,0.6,0.053,-0.7,-1.3,-2,0
305,Nick Calathes,2014-15,25,MEM,NBA,58,0,14.4,1.8,4.3,1.6,3.5,0.2,0.7,0.4,0.8,0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,4.2,0.421,0.456,0.256,0.443,0.533,0.455,1.1,58,0,838,12.3,0.174,0.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,93,99,-0.4,1.5,1.1,0.065,-2.1,1.8,-0.3,0.4
223,Channing Frye,2014-15,31,ORL,NBA,75,51,24.9,2.5,6.5,0.7,1.9,1.8,4.6,0.4,0.5,0.4,3.5,3.9,1.3,0.6,0.5,1,2.5,7.3,0.392,0.39,0.393,0.532,0.886,0.546,2.1,75,51,1870,9.5,0.71,0.072,1.6,16.4,8.9,7.4,1.3,1.7,13.4,14.1,101,108,0.7,1.4,2.1,0.053,-0.9,0,-0.9,0.5
5,DeAndre Jordan,2014-15,26,LAC,NBA,82,82,34.4,4.6,6.5,4.6,6.5,0,0,2.3,5.7,4.8,10.1,15,0.7,1,2.2,1.3,3,11.5,0.71,0.713,0.25,0.711,0.397,0.638,12.8,82,82,2820,21,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,126,98,7.4,5.4,12.8,0.217,0.9,3.2,4.1,4.3
367,Lou Amundson,2014-15,32,TOT,NBA,53,35,17.7,2.1,4.8,2.1,4.8,0,0,0.8,1.6,1.8,3.3,5.1,1.3,0.4,1,1.2,2.4,4.9,0.427,0.429,0,0.427,0.471,0.442,0.3,53,35,937,11.8,0.004,0.341,11.3,22,16.5,12.2,1.2,4.6,17.5,17.4,92,106,-0.6,0.9,0.3,0.017,-4,2,-2,0
11,LeBron James,2014-15,30,CLE,NBA,69,69,36.1,9,18.5,7.3,13.6,1.7,4.9,5.4,7.7,0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3,0.488,0.536,0.354,0.535,0.71,0.577,10.4,69,69,2493,25.9,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,112,105,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9
289,Mitch McGary,2014-15,22,OKC,NBA,32,2,15.2,2.8,5.2,2.8,5.1,0,0.1,0.8,1.3,1.7,3.5,5.2,0.4,0.5,0.5,1,2.3,6.3,0.533,0.54,0,0.533,0.625,0.55,1.3,32,2,485,16.6,0.012,0.242,11.9,24.4,18.2,4.6,1.7,2.6,14.5,19,107,102,0.6,0.7,1.3,0.127,-2.3,-0.1,-2.4,-0.1
126,Bradley Beal,2014-15,21,WAS,NBA,63,59,33.4,5.8,13.5,4.1,9.4,1.7,4.1,2.1,2.6,0.9,2.9,3.8,3.1,1.2,0.3,2,2.2,15.3,0.427,0.434,0.409,0.489,0.783,0.521,3.7,63,59,2107,14,0.304,0.195,3.1,9.6,6.4,15,1.8,0.7,11.7,22.5,102,105,1.3,2.4,3.7,0.085,0.5,-0.1,0.5,1.3
433,Erick Green,2014-15,23,DEN,NBA,43,1,9.5,1.4,3.8,1.1,2.7,0.3,1.1,0.2,0.3,0.2,0.6,0.7,0.9,0.3,0,0.3,0.6,3.4,0.377,0.409,0.298,0.42,0.833,0.436,0,43,1,410,8.9,0.29,0.074,1.8,6.6,4.1,15.1,1.5,0,7.7,19.1,95,112,-0.1,0.1,0,0,-2.7,-2.7,-5.4,-0.3
263,Dorell Wright,2014-15,29,POR,NBA,48,2,12.3,1.5,4,0.6,1.7,0.9,2.3,0.7,0.9,0.3,2,2.3,0.9,0.4,0.2,0.4,1.1,4.6,0.379,0.378,0.38,0.487,0.81,0.525,1.6,48,2,592,13.4,0.568,0.221,2.6,17.2,10,10.2,1.7,1.3,7.9,17.1,109,102,0.7,0.8,1.6,0.128,0.1,0.6,0.7,0.4
462,Xavier Henry,2014-15,23,LAL,NBA,9,0,9.6,0.3,1.4,0.3,1.4,0,0,1.6,2.7,0.2,0.2,0.4,0.3,0.3,0,0.3,0.7,2.2,0.231,0.231,,0.231,0.583,0.424,-0.1,9,0,86,4.9,0,1.846,2.5,2.7,2.6,4.8,1.8,0,11.3,13.7,90,114,-0.1,0,-0.1,-0.03,-5.5,-2.4,-7.9,-0.1
478,Gal Mekel,2014-15,26,NOP,NBA,4,0,10.8,0.8,5,0.8,4.3,0,0.8,0,0,0,0.3,0.3,3.3,0.5,0,0.5,0.3,1.5,0.15,0.176,0,0.15,,0.15,-0.2,4,0,43,0.5,0.15,0,0,2.6,1.3,42.2,2.4,0,9.1,23.3,61,111,-0.2,0,-0.2,-0.238,-10.3,-6.3,-16.6,-0.2
13,Marc Gasol,2014-15,30,MEM,NBA,81,81,33.2,6.5,13.2,6.5,13,0,0.2,4.3,5.4,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4,0.494,0.5,0.176,0.496,0.795,0.558,10.2,81,81,2687,21.7,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,111,100,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6
179,Meyers Leonard,2014-15,22,POR,NBA,55,7,15.4,2.3,4.5,1.4,2.4,0.9,2,0.5,0.6,0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9,0.51,0.586,0.42,0.606,0.938,0.631,2.8,55,7,847,14.8,0.457,0.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,117,102,1.6,1.2,2.8,0.158,0.1,0,0.2,0.5
37,DeMarre Carroll,2014-15,28,ATL,NBA,70,69,31.3,4.5,9.3,2.8,5,1.7,4.3,1.8,2.6,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,0.487,0.567,0.395,0.579,0.702,0.603,7,70,69,2189,15.9,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,117,104,4.3,2.8,7,0.154,2.4,0.5,2.9,2.7
326,E'Twaun Moore,2014-15,25,CHI,NBA,56,0,9,1.1,2.5,0.9,1.8,0.2,0.7,0.2,0.4,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.7,0.446,0.485,0.342,0.493,0.6,0.504,0.8,56,0,504,10.3,0.273,0.144,2.7,7.1,5,10.4,2.1,0.9,8.7,14.4,105,106,0.3,0.5,0.8,0.08,-1.8,-0.6,-2.5,-0.1
34,Zach Randolph,2014-15,33,MEM,NBA,71,71,32.5,6.4,13.1,6.3,12.8,0.1,0.3,3.2,4.2,3.2,7.4,10.5,2.2,1,0.2,2.2,2.5,16.1,0.487,0.49,0.35,0.491,0.765,0.538,7.2,71,71,2304,19.5,0.021,0.32,11.2,25.8,18.5,11.4,1.6,0.5,12.8,24.3,107,101,3.4,3.8,7.2,0.149,0.4,1.1,1.5,2
63,Kenneth Faried,2014-15,25,DEN,NBA,75,71,27.8,5,9.8,5,9.7,0,0.1,2.7,3.8,3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6,0.507,0.511,0.125,0.507,0.691,0.548,5.6,75,71,2086,18.4,0.011,0.391,12.1,22.9,17.3,7.1,1.5,2.1,12,20.3,111,106,3.5,2.1,5.6,0.13,-0.2,0.9,0.8,1.4
256,Dante Cunningham,2014-15,27,NOP,NBA,66,27,25,2.3,5.1,2.3,5,0,0.2,0.4,0.7,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2,0.457,0.468,0.1,0.459,0.617,0.473,1.6,66,27,1652,8.9,0.029,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,102,108,0.5,1.2,1.6,0.047,-2.6,1,-1.6,0.2
315,Darrell Arthur,2014-15,26,DEN,NBA,58,4,17,2.7,6.6,2.2,4.7,0.4,1.9,0.8,1,0.9,2,2.9,1,0.8,0.4,0.8,2.5,6.6,0.404,0.471,0.236,0.438,0.78,0.466,0.9,58,4,988,11.5,0.286,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20,97,106,-0.1,0.9,0.9,0.042,-1.8,0.7,-1.1,0.2
109,Robert Covington,2014-15,24,PHI,NBA,70,49,27.9,4.3,10.8,1.9,4.4,2.4,6.4,2.5,3.1,0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5,0.396,0.426,0.374,0.506,0.82,0.554,4,70,49,1956,14.7,0.59,0.287,3.4,14.6,8.8,9.8,2.5,1.3,13.1,21.8,104,104,1.6,2.3,4,0.097,0.6,-0.5,0.2,1.1
20,Kevin Love,2014-15,26,CLE,NBA,75,75,33.8,5.5,12.7,3.6,7.5,1.9,5.2,3.4,4.3,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4,0.434,0.48,0.367,0.509,0.804,0.562,8.7,75,75,2532,18.8,0.412,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,115,105,5.8,2.9,8.7,0.165,2,-0.1,1.9,2.5
4,Anthony Davis,2014-15,21,NOP,NBA,68,68,36.1,9.4,17.6,9.4,17.5,0,0.2,5.5,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,0.535,0.54,0.083,0.536,0.805,0.591,14,68,68,2455,30.8,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122,100,9.9,4.2,14,0.274,4.2,3,7.1,5.7
477,Cartier Martin,2014-15,30,DET,NBA,23,0,8.6,0.7,2.3,0.4,0.9,0.3,1.4,0,0,0,0.9,0.9,0.5,0.1,0,0.2,0.9,1.6,0.283,0.45,0.182,0.34,,0.34,-0.2,23,0,198,1.6,0.623,0,0,11.4,5.5,8,0.8,0.4,8.6,13,76,110,-0.3,0.1,-0.2,-0.053,-5.5,-1.6,-7.1,-0.3
379,Steve Novak,2014-15,31,TOT,NBA,35,0,5.6,0.6,1.6,0.1,0.2,0.5,1.4,0,0.1,0.1,0.6,0.6,0.3,0,0.1,0.1,0.7,1.8,0.393,0.375,0.396,0.563,0,0.554,0.3,35,0,197,8.6,0.857,0.036,1.1,11.4,6.3,8.6,0,0.8,8.1,14.1,111,111,0.2,0.1,0.3,0.075,-0.2,-3.2,-3.4,-0.1
325,Kendall Marshall,2014-15,23,MIL,NBA,28,3,14.9,1.6,3.6,1,2,0.6,1.6,0.3,0.3,0.1,0.9,1,3.1,0.8,0,1.3,0.9,4.2,0.455,0.509,0.391,0.545,0.889,0.562,0.8,28,3,417,12.4,0.455,0.089,0.6,7.1,3.8,31.1,2.6,0,25,15.1,104,105,0.3,0.5,0.8,0.088,-1.7,-2.4,-4.1,-0.2
490,Gary Harris,2014-15,20,DEN,NBA,55,6,13.1,1.2,3.9,0.8,2.1,0.4,1.9,0.6,0.9,0.4,0.8,1.2,0.5,0.7,0.1,0.7,1.3,3.4,0.304,0.395,0.204,0.353,0.745,0.395,-0.7,55,6,719,4.9,0.475,0.217,3,6.7,4.8,5.9,2.7,0.8,13.8,16.6,81,109,-1.2,0.5,-0.7,-0.046,-4.2,-0.1,-4.3,-0.4
255,Kent Bazemore,2014-15,25,ATL,NBA,75,10,17.7,1.9,4.4,1.2,2.7,0.6,1.8,0.8,1.3,0.3,2.7,3,1,0.7,0.4,1,1.7,5.2,0.426,0.467,0.364,0.498,0.6,0.52,1.6,75,10,1324,9.7,0.399,0.302,1.9,16.8,9.6,8.6,2,2.1,16.3,15.5,94,102,-0.4,1.9,1.6,0.057,-3.1,1.3,-1.8,0.1
66,Chandler Parsons,2014-15,26,DAL,NBA,66,66,33.1,5.8,12.6,3.8,7.3,2,5.3,2.1,2.9,1,3.9,4.9,2.4,1,0.3,1.5,2.1,15.7,0.462,0.521,0.38,0.542,0.72,0.567,5.5,66,66,2186,16.3,0.419,0.233,3.2,13,8.1,11.4,1.6,0.7,9.5,20.6,112,108,3.8,1.7,5.5,0.121,2.7,-0.2,2.5,2.5
270,Garrett Temple,2014-15,28,WAS,NBA,52,18,14.1,1.3,3.3,0.7,1.6,0.6,1.7,0.7,0.9,0.5,1.3,1.7,1.1,0.8,0.2,0.7,1.5,3.9,0.4,0.427,0.375,0.497,0.729,0.534,1.5,52,18,735,10.9,0.518,0.282,3.8,9.9,6.9,11,2.9,1,15.1,13.9,104,102,0.4,1.1,1.5,0.1,-0.6,1.4,0.8,0.5
38,Ty Lawson,2014-15,27,DEN,NBA,75,75,35.5,5.4,12.3,4.5,9.6,0.9,2.7,3.5,4.8,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2,0.436,0.463,0.341,0.474,0.73,0.526,7,75,75,2665,18.5,0.221,0.392,1.6,8.1,4.7,43,1.7,0.3,14.6,20.6,113,111,6,1,7,0.126,2.7,-2.1,0.5,1.7
438,Malcolm Lee,2014-15,24,PHI,NBA,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,1,0,2,-19.7,0,0,0,0,0,0,0,0,0,21.8,0,115,0,0,0,-0.527,-21.9,-6.7,-28.5,0
170,Marco Belinelli,2014-15,28,SAS,NBA,62,9,22.4,3.2,7.6,1.8,3.9,1.4,3.7,1.4,1.6,0.4,2.1,2.5,1.5,0.5,0,1,1.4,9.2,0.423,0.471,0.374,0.515,0.848,0.553,2.9,62,9,1388,12.4,0.489,0.211,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,107,106,1.5,1.4,2.9,0.1,0.6,-1.1,-0.5,0.5
